"State","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Andhra Pradesh","","","","","17385","50224","11203332","11203313","19","100.00"
"Arunachal Pradesh","1578","367","0","1211","5067","6649","232151","150951","81200","65.02"
"Assam","2892","2328","124","440","25457","81106","5186131","2754373","2431758","53.11"
"Bihar","2747","2428","77","242","38270","63570","12291841","5639493","6652348","45.88"
"Chhattisgarh","1080","812","0","268","19817","74484","4518804","3870337","648467","85.65"
"Goa","","","","","319","319","128207","128207","0","100.00"
"Gujarat","","","","","16670","19453","6644619","6615844","28775","99.57"
"Haryana","","","","","6633","7226","3420712","2725223","695489","79.67"
"Himachal Pradesh","35","28","7","0","17233","48212","1467174","1447767","19407","98.68"
"Jammu & Kashmir","134","32","0","102","6382","17841","1287783","1017545","270238","79.02"
"Jharkhand","2525","2020","56","449","29515","107007","5379052","2299460","3079592","42.75"
"Karnataka","39","29","0","10","28894","71145","9621577","8404468","1217109","87.35"
"Kerala","","","","","1490","7485","7104254","7102280","1974","99.97"
"Madhya Pradesh","472","379","47","46","54014","121156","11381286","6825957","4555329","59.98"
"Maharashtra","","","","","41984","99676","14055039","12946612","1108427","92.11"
"Manipur","276","211","0","65","2509","4442","387628","280528","107100","72.37"
"Meghalaya","912","755","10","147","6551","6551","463022","323755","139267","69.92"
"Mizoram","58","42","4","12","714","715","110336","99238","11098","89.94"
"Nagaland","82","78","4","0","1433","2695","159661","71738","87923","44.93"
"Odisha","3474","2555","515","404","48171","131262","8405133","4575021","3830112","54.43"
"PUDUCHERRY","","","","","92","92","101788","101413","375","99.63"
"Punjab","","","","","12177","13874","3688646","3688646","0","100.00"
"Rajasthan","495","426","68","1","42834","131603","8997894","6865080","2132814","76.30"
"Sikkim","","","","","149","954","37281","31653","5628","84.90"
"Tamil Nadu","","","","","14137","95319","10277501","10277354","147","100.00"
"Telangana","","","","","10466","24792","5978016","4944391","1033625","82.71"
"Tripura","26","26","0","0","872","9032","796198","575716","220482","72.31"
"Uttar Pradesh","1529","1470","53","6","102694","269892","30123560","15107136","15016424","50.15"
"Uttarakhand","76","24","1","51","15759","42427","1728518","1542903","185615","89.26"
"West Bengal","22","18","0","4","36965","100772","13820342","13692761","127581","99.08"
"Total","18,452","14,028","966","3,458","6,04,653","16,09,975","17,89,97,486","13,53,09,163","4,36,88,323",""
